16000000	0.958615 14.6663 7.61768 5.03385 3.84777 3.47541
52400000	0.988429 5.61286 2.68728 1.84118 1.44234 1.13908
88800000	1.04675 3.93977 2.14856 1.32581 0.968368 0.822785
125200000	0.973771 3.21558 1.74482 1.21835 0.768897 0.632775
161600000	0.992389 2.8331 1.52887 1.08032 0.839827 0.553915
198000000	1.02788 0.512343 0.353549 0.268501 0.225258 0.185307
234400000	1.00793 0.523519 0.345947 0.264435 0.238845 0.179344
270800000	1.08645 0.520159 0.356386 0.279185 0.220484 0.175304
307200000	1.11348 0.607235 0.374707 0.273685 0.232539 0.198185
343600000	1.22007 0.662029 0.462274 0.291739 0.240091 0.210284
380000000	1.20453 0.65002 0.459316 0.357065 0.235505 0.188998
