16000000	0.0987216	0.094636 1.44788 0.75203 0.49695 0.379858 0.343098
52400000	0.318718	0.31503 1.78892 0.856484 0.586818 0.4597 0.363044
88800000	0.533386	0.55832 2.10142 1.14601 0.70717 0.516514 0.438862
125200000	0.771804	0.75156 2.4818 1.34666 0.94033 0.593438 0.488378
161600000	0.987556	0.98004 2.79784 1.50984 1.06688 0.829376 0.547022
198000000	1.19908	1.23251 0.61434 0.423934 0.321954 0.270102 0.222198
234400000	1.43649	1.44788 0.75203 0.49695 0.379858 0.343098 0.257626
270800000	1.64658	1.78892 0.856484 0.586818 0.4597 0.363044 0.288652
307200000	1.88726	2.10142 1.14601 0.70717 0.516514 0.438862 0.374026
343600000	2.03414	2.4818 1.34666 0.94033 0.593438 0.488378 0.427748
380000000	2.32276	2.79784 1.50984 1.06688 0.829376 0.547022 0.438996
